product_id,title,description,category,price,brand,tags,rating_avg,rating_count,created_at
P000001,Durable Running Shoe Model 859,Durable Running Shoe Model 859 designed for bags performance. Ideal for active users and everyday comfort.,travel>bags,29.8,Stride,"trail,insulated,gps",3.63,14,2023-01-31T00:00:00Z
P000002,Pro Smart Watch,Pro Smart Watch designed for trail performance. Ideal for active users and everyday comfort.,sports>footwear>trail,84.9,Veloce,"waterproof,training",4.38,30,2023-01-07T00:00:00Z
P000003,Waterproof Backpack,Waterproof Backpack designed for socks performance. Ideal for active users and everyday comfort.,sports>accessories>socks,28.61,EverRun,trail,4.07,13,2023-12-19T00:00:00Z
P000004,Ultra Running Shoe Model 847,Ultra Running Shoe Model 847 designed for audio performance. Ideal for active users and everyday comfort.,electronics>audio,62.17,TrailBlaze,gps,3.94,19,2024-01-06T00:00:00Z
P000005,Pro Compression Sleeve,Pro Compression Sleeve designed for audio performance. Ideal for active users and everyday comfort.,electronics>audio,69.68,CoreFit,waterproof,4.8,13,2024-04-09T00:00:00Z
P000006,Compact Water Bottle Model 479,Compact Water Bottle Model 479 designed for bags performance. Ideal for active users and everyday comfort.,travel>bags,28.38,CoreFit,"insulated,compact,trail",4.41,11,2023-09-08T00:00:00Z
P000007,Smart Sunglasses,Smart Sunglasses designed for socks performance. Ideal for active users and everyday comfort.,sports>accessories>socks,47.38,Apex,running,4.71,14,2023-03-09T00:00:00Z
P000008,Premium Compression Sleeve,Premium Compression Sleeve designed for hydration performance. Ideal for active users and everyday comfort.,home>kitchen>hydration,46.22,TrailBlaze,"training,lightweight,fitness",3.71,24,2024-07-05T00:00:00Z
P000009,Premium Sunglasses Model 697,Premium Sunglasses Model 697 designed for wearables performance. Ideal for active users and everyday comfort.,electronics>wearables,137.92,Stride,"training,trail,running",4.79,11,2023-06-13T00:00:00Z
P000010,Waterproof Shorts Model 165,Waterproof Shorts Model 165 designed for bags performance. Ideal for active users and everyday comfort.,travel>bags,35.26,Nimbus,"fitness,gps,running",4.52,10,2024-07-03T00:00:00Z
P000011,Basic Backpack Model 214,Basic Backpack Model 214 designed for wearables performance. Ideal for active users and everyday comfort.,electronics>wearables,149.56,Nimbus,compact,4.81,12,2024-05-27T00:00:00Z
P000012,Eco Trail Shoe Model 991,Eco Trail Shoe Model 991 designed for socks performance. Ideal for active users and everyday comfort.,sports>accessories>socks,53.67,Veloce,"waterproof,lightweight,outdoor",4.64,16,2024-06-27T00:00:00Z
P000013,Premium Backpack,Premium Backpack designed for running performance. Ideal for active users and everyday comfort.,sports>footwear>running,48.95,EverRun,"waterproof,running",3.86,17,2023-03-22T00:00:00Z
P000014,Smart Trail Shoe,Smart Trail Shoe designed for trail performance. Ideal for active users and everyday comfort.,sports>footwear>trail,50.27,Nimbus,"lightweight,fitness,gps",4.81,14,2023-08-05T00:00:00Z
P000015,Pro Compression Sleeve Model 419,Pro Compression Sleeve Model 419 designed for jackets performance. Ideal for active users and everyday comfort.,sports>apparel>jackets,59.81,EverRun,"gps,training",3.68,11,2023-12-13T00:00:00Z
P000016,Premium Jacket,Premium Jacket designed for running performance. Ideal for active users and everyday comfort.,sports>footwear>running,40.58,Apex,trail,4.86,37,2023-03-14T00:00:00Z
P000017,Pro Yoga Mat Model 785,Pro Yoga Mat Model 785 designed for jackets performance. Ideal for active users and everyday comfort.,sports>apparel>jackets,28.57,Stride,"heart-rate,compact,training",3.86,15,2024-02-21T00:00:00Z
P000018,Durable Trail Shoe Model 774,Durable Trail Shoe Model 774 designed for hydration performance. Ideal for active users and everyday comfort.,home>kitchen>hydration,34.17,TrailBlaze,"compact,running",4.51,158,2023-04-11T00:00:00Z
P000019,Waterproof Compression Sleeve,Waterproof Compression Sleeve designed for running performance. Ideal for active users and everyday comfort.,sports>footwear>running,59.89,PeakMotion,"training,lightweight,casual",3.78,15,2023-03-19T00:00:00Z
P000020,Eco Trail Shoe,Eco Trail Shoe designed for recovery performance. Ideal for active users and everyday comfort.,sports>accessories>recovery,58.76,PeakMotion,casual,4.23,11,2024-02-15T00:00:00Z
P000021,Comfort Sunglasses Model 102,Comfort Sunglasses Model 102 designed for running performance. Ideal for active users and everyday comfort.,sports>footwear>running,61.22,Nimbus,"casual,gps",4.49,15,2023-07-14T00:00:00Z
P000022,Pro Running Shoe,Pro Running Shoe designed for wearables performance. Ideal for active users and everyday comfort.,electronics>wearables,199.68,Apex,heart-rate,4.22,53,2024-06-27T00:00:00Z
P000023,Lightweight Jacket,Lightweight Jacket designed for socks performance. Ideal for active users and everyday comfort.,sports>accessories>socks,22.74,Novex,"waterproof,casual,trail",4.91,17,2024-08-15T00:00:00Z
P000024,Lightweight Shorts Model 183,Lightweight Shorts Model 183 designed for audio performance. Ideal for active users and everyday comfort.,electronics>audio,69.44,Orion,"outdoor,fitness,waterproof",4.5,12,2023-09-29T00:00:00Z
P000025,Comfort Socks Model 760,Comfort Socks Model 760 designed for yoga performance. Ideal for active users and everyday comfort.,sports>fitness>yoga,38.29,Novex,training,4.43,17,2023-04-13T00:00:00Z
P000026,Eco Smart Watch Model 618,Eco Smart Watch Model 618 designed for trail performance. Ideal for active users and everyday comfort.,sports>footwear>trail,50.6,EverRun,waterproof,4.05,11,2024-07-10T00:00:00Z
P000027,Ultra Shorts,Ultra Shorts designed for gear performance. Ideal for active users and everyday comfort.,outdoor>gear,46.71,Veloce,"insulated,trail",4.91,11,2023-04-29T00:00:00Z
P000028,Eco Water Bottle Model 378,Eco Water Bottle Model 378 designed for trail performance. Ideal for active users and everyday comfort.,sports>footwear>trail,88.39,EverRun,insulated,4.45,12,2024-05-15T00:00:00Z
P000029,Lightweight Trail Shoe Model 749,Lightweight Trail Shoe Model 749 designed for wearables performance. Ideal for active users and everyday comfort.,electronics>wearables,212.7,Apex,outdoor,4.66,19,2023-09-26T00:00:00Z
P000030,Smart Jacket Model 822,Smart Jacket Model 822 designed for socks performance. Ideal for active users and everyday comfort.,sports>accessories>socks,42.44,Novex,compact,4.86,16,2024-01-14T00:00:00Z
P000031,Eco Water Bottle,Eco Water Bottle designed for audio performance. Ideal for active users and everyday comfort.,electronics>audio,32.51,EverRun,outdoor,3.82,12,2023-04-16T00:00:00Z
P000032,Eco Sunglasses,Eco Sunglasses designed for shorts performance. Ideal for active users and everyday comfort.,sports>apparel>shorts,57.03,PeakMotion,lightweight,4.82,10,2023-12-07T00:00:00Z
P000033,Basic Compression Sleeve,Basic Compression Sleeve designed for yoga performance. Ideal for active users and everyday comfort.,sports>fitness>yoga,30.67,Novex,"running,training",3.83,30,2024-04-16T00:00:00Z
P000034,Ultra Smart Watch,Ultra Smart Watch designed for shorts performance. Ideal for active users and everyday comfort.,sports>apparel>shorts,46.4,TrailBlaze,"fitness,trail",4.95,12,2024-10-18T00:00:00Z
P000035,Waterproof Socks Model 963,Waterproof Socks Model 963 designed for jackets performance. Ideal for active users and everyday comfort.,sports>apparel>jackets,57.57,Novex,"lightweight,heart-rate",4.94,12,2023-04-22T00:00:00Z
P000036,Waterproof Backpack Model 846,Waterproof Backpack Model 846 designed for audio performance. Ideal for active users and everyday comfort.,electronics>audio,56.18,Veloce,casual,4.85,11,2023-02-15T00:00:00Z
P000037,Waterproof Running Shoe,Waterproof Running Shoe designed for gear performance. Ideal for active users and everyday comfort.,outdoor>gear,34.57,Novex,"outdoor,heart-rate,compact",4.5,10,2023-11-04T00:00:00Z
P000038,Ultra Socks Model 518,Ultra Socks Model 518 designed for jackets performance. Ideal for active users and everyday comfort.,sports>apparel>jackets,36.1,CoreFit,"lightweight,waterproof,casual",4.5,13,2023-06-28T00:00:00Z
P000039,Premium Yoga Mat,Premium Yoga Mat designed for audio performance. Ideal for active users and everyday comfort.,electronics>audio,48.23,PeakMotion,"heart-rate,compact",4.48,15,2024-03-28T00:00:00Z
P000040,Pro Jacket,Pro Jacket designed for bags performance. Ideal for active users and everyday comfort.,travel>bags,46.35,CoreFit,"insulated,compact,heart-rate",4.0,31,2023-08-29T00:00:00Z
P000041,Ultra Smart Watch,Ultra Smart Watch designed for bags performance. Ideal for active users and everyday comfort.,travel>bags,25.89,Apex,training,4.42,26,2024-04-11T00:00:00Z
P000042,Basic Shorts Model 299,Basic Shorts Model 299 designed for yoga performance. Ideal for active users and everyday comfort.,sports>fitness>yoga,39.78,PeakMotion,insulated,4.53,44,2023-04-20T00:00:00Z
P000043,Pro Water Bottle Model 923,Pro Water Bottle Model 923 designed for yoga performance. Ideal for active users and everyday comfort.,sports>fitness>yoga,22.01,PeakMotion,training,3.7,15,2024-06-27T00:00:00Z
P000044,Premium Backpack Model 873,Premium Backpack Model 873 designed for jackets performance. Ideal for active users and everyday comfort.,sports>apparel>jackets,44.51,Veloce,"gps,training",4.85,24,2024-05-01T00:00:00Z
P000045,Ultra Smart Watch Model 960,Ultra Smart Watch Model 960 designed for recovery performance. Ideal for active users and everyday comfort.,sports>accessories>recovery,50.63,Veloce,"insulated,waterproof",3.91,10,2023-10-20T00:00:00Z
P000046,Ultra Backpack,Ultra Backpack designed for hydration performance. Ideal for active users and everyday comfort.,home>kitchen>hydration,25.53,PeakMotion,"compact,lightweight",4.56,10,2024-02-22T00:00:00Z
P000047,Eco Headphones,Eco Headphones designed for shorts performance. Ideal for active users and everyday comfort.,sports>apparel>shorts,28.27,TrailBlaze,"heart-rate,running",4.79,26,2024-01-25T00:00:00Z
P000048,Lightweight Backpack Model 405,Lightweight Backpack Model 405 designed for recovery performance. Ideal for active users and everyday comfort.,sports>accessories>recovery,54.14,TrailBlaze,"compact,gps,heart-rate",4.85,15,2023-10-07T00:00:00Z
P000049,Smart Running Shoe Model 498,Smart Running Shoe Model 498 designed for yoga performance. Ideal for active users and everyday comfort.,sports>fitness>yoga,46.75,TrailBlaze,"lightweight,training,compact",4.97,16,2024-02-08T00:00:00Z
P000050,Premium Socks,Premium Socks designed for audio performance. Ideal for active users and everyday comfort.,electronics>audio,68.56,Stride,"lightweight,running",3.89,13,2024-04-10T00:00:00Z
P000051,Compact Sunglasses Model 384,Compact Sunglasses Model 384 designed for shorts performance. Ideal for active users and everyday comfort.,sports>apparel>shorts,30.09,Novex,"running,gps",3.58,75,2023-08-18T00:00:00Z
P000052,Durable Socks,Durable Socks designed for bags performance. Ideal for active users and everyday comfort.,travel>bags,57.98,PeakMotion,heart-rate,3.73,10,2024-11-16T00:00:00Z
P000053,Premium Smart Watch Model 576,Premium Smart Watch Model 576 designed for trail performance. Ideal for active users and everyday comfort.,sports>footwear>trail,101.35,Stride,"heart-rate,trail,lightweight",4.95,10,2023-01-27T00:00:00Z
P000054,Premium Socks Model 484,Premium Socks Model 484 designed for wearables performance. Ideal for active users and everyday comfort.,electronics>wearables,230.64,PeakMotion,heart-rate,4.54,19,2023-04-15T00:00:00Z
P000055,Ultra Socks,Ultra Socks designed for gear performance. Ideal for active users and everyday comfort.,outdoor>gear,51.85,Orion,outdoor,4.3,20,2023-03-12T00:00:00Z
P000056,Basic Backpack Model 112,Basic Backpack Model 112 designed for jackets performance. Ideal for active users and everyday comfort.,sports>apparel>jackets,52.89,Novex,"outdoor,insulated",4.84,15,2023-06-06T00:00:00Z
P000057,Comfort Compression Sleeve Model 634,Comfort Compression Sleeve Model 634 designed for yoga performance. Ideal for active users and everyday comfort.,sports>fitness>yoga,44.64,Veloce,"training,casual",4.74,18,2023-11-27T00:00:00Z
P000058,Durable Yoga Mat,Durable Yoga Mat designed for hydration performance. Ideal for active users and everyday comfort.,home>kitchen>hydration,50.02,Orion,"insulated,casual,outdoor",3.54,35,2023-07-06T00:00:00Z
